Date,symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,is_weekend,is_dividend,is_stock_split,daily_return_pct,MA_7_Close,MA_30_Close,MA_7_Volume,volatility_7d,target_volume_T_plus_1
2021-09-20,ASSA.JK,2717.3432917888563,2963.6025276072214,2708.851594002016,2895.6689453125,32338700.0,0.0,0.0,0,0,0,0,,2895.6689453125,2895.6689453125,32338700.0,,22319800.0
2021-09-21,ASSA.JK,2963.602290700423,3048.5192617806647,2768.2932572158684,2946.618896484375,22319800.0,0.0,0.0,1,0,0,0,0.017595226572551637,2921.1439208984375,2921.1439208984375,27329250.0,,20412700.0
2021-09-22,ASSA.JK,2963.602556597462,3184.386701215038,2946.6191608576487,3073.99462890625,20412700.0,0.0,0.0,2,0,0,0,0.04322775930536782,2972.0941569010415,2972.0941569010415,25023733.333333332,0.01812493771436047,16525000.0
2021-09-23,ASSA.JK,3090.9779928768385,3133.436481789982,2861.702152745864,2887.17724609375,16525000.0,0.0,0.0,3,0,0,0,-0.060773490316400114,2950.8649291992188,2950.8649291992188,22899050.0,0.05418324224950129,17854000.0
2021-09-24,ASSA.JK,2887.17723582958,3031.5360976210586,2793.76856055274,2827.7353515625,17854000.0,0.0,0.0,4,0,0,0,-0.020588238776013124,2926.239013671875,2926.239013671875,21890040.0,0.0454241634692015,0.0
2021-09-25,ASSA.JK,2887.17723582958,3031.5360976210586,2793.76856055274,2827.7353515625,0.0,0.0,0.0,5,1,0,0,0.0,2909.821736653646,2909.821736653646,18241700.0,0.039405443403392144,0.0
2021-09-26,ASSA.JK,2887.17723582958,3031.5360976210586,2793.76856055274,2827.7353515625,0.0,0.0,0.0,6,1,0,0,0.0,2898.0951102120534,2898.0951102120534,15635742.857142856,0.03528517312328073,10649900.0
2021-09-27,ASSA.JK,2853.2104700854698,3014.5527288105413,2844.718772257834,2980.5859375,10649900.0,0.0,0.0,0,0,0,0,0.054054063387876994,2910.2261090959823,2908.406463623047,12537342.857142856,0.03885206460522665,12576000.0
2021-09-28,ASSA.JK,2989.0776057401813,2997.5693034837614,2776.78516215068,2810.751953125,12576000.0,0.0,0.0,1,0,0,0,-0.05698006631456165,2890.8165457589284,2897.555962456597,11145371.42857143,0.04456017596686227,8370700.0
2021-09-29,ASSA.JK,2819.2434190699187,2929.6354806600057,2759.8015397521795,2861.701904296875,8370700.0,0.0,0.0,2,0,0,0,0.018126804506967797,2860.489013671875,2893.970556640625,9425085.714285715,0.04080261311420324,8732000.0
2021-09-30,ASSA.JK,2861.70191710892,2963.6022821098304,2861.70191710892,2912.652099609375,8732000.0,0.0,0.0,3,0,0,0,0.017804158859452635,2864.1282784598216,2895.668878728693,8311800.0,0.03467945938515746,9778600.0
2021-10-01,ASSA.JK,2912.6523451694225,2946.619136366733,2836.2270649754723,2921.14404296875,9778600.0,0.0,0.0,4,0,0,0,0.002915536448899525,2877.4723772321427,2897.7918090820312,7158171.428571428,0.033262374086560416,0.0
2021-10-02,ASSA.JK,2912.6523451694225,2946.619136366733,2836.2270649754723,2921.14404296875,0.0,0.0,0.0,5,1,0,0,0.0,2890.816476004464,2899.588134765625,7158171.428571428,0.033262374086560416,0.0
2021-10-03,ASSA.JK,2912.6523451694225,2946.619136366733,2836.2270649754723,2921.14404296875,0.0,0.0,0.0,6,1,0,0,0.0,2904.160574776786,2901.12784249442,7158171.428571428,0.033262374086560416,14987000.0
2021-10-04,ASSA.JK,2946.618872506278,3014.5524488176616,2853.210205078125,2853.210205078125,14987000.0,0.0,0.0,0,0,0,0,-0.023255901417851388,2885.964041573661,2897.9333333333334,7777757.142857143,0.026447770889551078,10349600.0
2021-10-05,ASSA.JK,2853.210217927631,2972.093977007949,2802.260035464638,2904.160400390625,10349600.0,0.0,0.0,1,0,0,0,0.017857147441089127,2899.30810546875,2898.322525024414,7459700.0,0.015021997542117214,18028200.0
2021-10-06,ASSA.JK,2912.652330592721,2946.6191216200414,2802.26025975393,2836.22705078125,18028200.0,0.0,0.0,2,0,0,0,-0.023391734699032996,2895.6688406808034,2894.669850068934,8839342.857142856,0.016946341575128764,10981400.0
2021-10-07,ASSA.JK,2836.2270565597264,2895.6689409786427,2819.2436610114646,2870.19384765625,10981400.0,0.0,0.0,3,0,0,0,0.011976049965972901,2889.6033761160716,2893.310072157118,9160685.714285715,0.015975068983370422,44897300.0
2021-10-08,ASSA.JK,2870.1934874076155,3396.678683322622,2861.701790699309,3303.27001953125,44897300.0,0.0,0.0,4,0,0,0,0.15088742951234546,2944.192801339286,2914.8869114925988,14177642.857142856,0.060207131294255645,0.0
2021-10-09,ASSA.JK,2870.1934874076155,3396.678683322622,2861.701790699309,3303.27001953125,0.0,0.0,0.0,5,1,0,0,0.0,2998.7822265625,2934.3060668945313,14177642.857142856,0.060207131294255645,0.0
2021-10-10,ASSA.JK,2870.1934874076155,3396.678683322622,2861.701790699309,3303.27001953125,0.0,0.0,0.0,6,1,0,0,0.0,3053.371651785714,2951.875778924851,14177642.857142856,0.060207131294255645,14933500.0
2021-10-11,ASSA.JK,3311.7621954970477,3362.712383120079,3209.861820250984,3235.3369140625,14933500.0,0.0,0.0,0,0,0,0,-0.02056541096158715,3107.961181640625,2964.7603759765625,14170000.0,0.05989907284485231,23143800.0
2021-10-12,ASSA.JK,3235.336699440137,3379.6955547957336,3175.8948178231267,3371.203857421875,23143800.0,0.0,0.0,1,0,0,0,0.041994681533420675,3174.6816755022323,2982.431831691576,15997742.857142856,0.0604781733480665,17288400.0
2021-10-13,ASSA.JK,3311.761939639137,3371.2038206070188,3184.3864804222467,3209.861572265625,17288400.0,0.0,0.0,2,0,0,0,-0.047858952463241566,3228.058035714286,2991.9080708821616,15892057.142857144,0.06419792592914471,28000300.0
2021-10-14,ASSA.JK,3209.8617803400216,3226.845176003196,2989.07763671875,2989.07763671875,28000300.0,0.0,0.0,3,0,0,0,-0.06878300841834695,3245.041434151786,2991.794853515625,18323328.57142857,0.07249399564464958,21962100.0
2021-10-15,ASSA.JK,2989.0776179941004,3014.5527113292774,2853.210453539823,2878.685546875,21962100.0,0.0,0.0,4,0,0,0,-0.03693182421482122,3184.3865094866073,2987.4444955679087,15046871.42857143,0.036691130899712265,0.0
2021-10-16,ASSA.JK,2989.0776179941004,3014.5527113292774,2853.210453539823,2878.685546875,0.0,0.0,0.0,5,1,0,0,0.0,3123.7315848214284,2983.41638635706,15046871.42857143,0.036691130899712265,0.0
2021-10-17,ASSA.JK,2989.0776179941004,3014.5527113292774,2853.210453539823,2878.685546875,0.0,0.0,0.0,6,1,0,0,0.0,3063.07666015625,2979.675999232701,15046871.42857143,0.036691130899712265,9386500.0
