Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-08 00:00:00+07:00,251.17893981933594,251.17893981933594,208.3854908130787,251.17893981933594,655243700,0.0,0.0
2022-08-09 00:00:00+07:00,269.7847702389672,312.5782165527344,254.90009326026555,312.5782165527344,290810800,0.0,0.0
2022-08-10 00:00:00+07:00,325.602309111577,344.2081553465242,292.1117858886719,292.1117858886719,31386200,0.0,0.0
2022-08-11 00:00:00+07:00,273.50592041015625,273.50592041015625,273.50592041015625,273.50592041015625,4747800,0.0,0.0
2022-08-12 00:00:00+07:00,254.9000701904297,254.9000701904297,254.9000701904297,254.9000701904297,9336900,0.0,0.0
2022-08-15 00:00:00+07:00,238.1548466435185,262.34244825575087,238.1548466435185,251.17893981933594,190982000,0.0,0.0
2022-08-16 00:00:00+07:00,256.76068115234375,271.64535832059556,238.154834692029,256.76068115234375,193701400,0.0,0.0
2022-08-18 00:00:00+07:00,256.7606648189921,279.08767915107836,253.03949576364437,264.2030029296875,140673900,0.0,0.0
2022-08-19 00:00:00+07:00,266.06360707384476,273.505945733253,262.3424377441406,262.3424377441406,65024500,0.0,0.0
2022-08-22 00:00:00+07:00,262.34241534994663,271.6453378800866,253.03949281980667,258.6212463378906,62197300,0.0,0.0
2022-08-23 00:00:00+07:00,258.62123909831917,260.4818235522639,253.03948573648495,254.9000701904297,28409100,0.0,0.0
2022-08-24 00:00:00+07:00,253.03949576364437,271.64534104038296,251.17891123597053,264.2030029296875,137437900,0.0,0.0
2022-08-25 00:00:00+07:00,271.64535832059556,271.64535832059556,254.90009650631228,256.76068115234375,64915000,0.0,0.0
2022-08-26 00:00:00+07:00,260.48186351634837,260.48186351634837,251.17893981933594,251.17893981933594,30877500,0.0,0.0
2022-08-29 00:00:00+07:00,247.4577628241645,251.1789321899414,234.4336700439453,234.4336700439453,50553000,0.0,0.0
2022-08-30 00:00:00+07:00,223.27014987751588,228.85190362445377,219.54898071289062,219.54898071289062,72755800,0.0,0.0
2022-08-31 00:00:00+07:00,219.54898071289062,219.54898071289062,204.66430405438956,219.54898071289062,51342400,0.0,0.0
2022-09-01 00:00:00+07:00,221.40956235139265,223.27014690896738,210.24605500594427,213.96722412109375,18324800,0.0,0.0
2022-09-02 00:00:00+07:00,213.96722827041359,217.68839745772513,208.38547448944627,212.1066436767578,15016200,0.0,0.0
2022-09-05 00:00:00+07:00,213.96722827041359,213.96722827041359,208.38547448944627,212.1066436767578,12119400,0.0,0.0
2022-09-06 00:00:00+07:00,212.1066436767578,221.40956664503668,208.38547448944627,212.1066436767578,25400400,0.0,0.0
2022-09-07 00:00:00+07:00,212.1066436767578,215.82781286406936,208.38547448944627,212.1066436767578,11705500,0.0,0.0
2022-09-08 00:00:00+07:00,212.1066436767578,213.96722827041359,210.24605908310204,212.1066436767578,10081100,0.0,0.0
2022-09-09 00:00:00+07:00,212.10664117531698,230.71248689245007,212.10664117531698,226.99131774902344,50162100,0.0,0.0
2022-09-12 00:00:00+07:00,228.8519079746344,232.57307720999432,217.6884002685547,217.6884002685547,22667300,0.0,0.0
2022-09-13 00:00:00+07:00,217.68839613057798,221.40956529520324,212.1066423836401,219.54898071289062,12853600,0.0,0.0
2022-09-14 00:00:00+07:00,215.82781565087473,217.6884002685547,212.10664641551483,217.6884002685547,12705100,0.0,0.0
2022-09-15 00:00:00+07:00,217.68839745772513,219.5489820513809,210.24605908310204,212.1066436767578,12185000,0.0,0.0
2022-09-16 00:00:00+07:00,213.96721696431658,213.96721696431658,206.52487898294905,210.2460479736328,9514700,0.0,0.0
2022-09-19 00:00:00+07:00,212.1066436767578,213.96722827041359,206.5248898957905,212.1066436767578,5491900,0.0,0.0
2022-09-20 00:00:00+07:00,213.96723679133825,213.96723679133825,208.38548278808594,208.38548278808594,4900400,0.0,0.0
2022-09-21 00:00:00+07:00,208.38548278808594,210.2460674558367,206.52489812033517,208.38548278808594,5081400,0.0,0.0
2022-09-22 00:00:00+07:00,208.38548704954954,210.24607175534908,204.66431763795043,206.52490234375,9073700,0.0,0.0
2022-09-23 00:00:00+07:00,206.52489509582517,223.27015686035156,206.52489509582517,223.27015686035156,29275500,0.0,0.0
2022-09-26 00:00:00+07:00,223.27014690896738,232.57306969684103,210.24605500594427,213.96722412109375,38332300,0.0,0.0
2022-09-27 00:00:00+07:00,212.10665051690464,221.40957378518993,208.38548120959052,215.82781982421875,13697100,0.0,0.0
2022-09-28 00:00:00+07:00,215.82781286406936,217.68839745772513,208.38547448944627,212.1066436767578,9834900,0.0,0.0
2022-09-29 00:00:00+07:00,213.96723679133825,215.82782145908902,206.52489812033517,208.38548278808594,8074100,0.0,0.0
2022-09-30 00:00:00+07:00,208.38546119545992,208.38546119545992,195.3613698707437,197.22195434570312,22092800,0.0,0.0
2022-10-03 00:00:00+07:00,197.22195434570312,197.22195434570312,187.91903197090582,197.22195434570312,6394200,0.0,0.0
2022-10-04 00:00:00+07:00,197.22198058511609,206.52490419762157,195.36139586261498,199.0825653076172,6313400,0.0,0.0
2022-10-05 00:00:00+07:00,199.08255690828375,206.52489548429435,199.08255690828375,202.80372619628906,7203700,0.0,0.0
2022-10-06 00:00:00+07:00,204.6643108402917,208.38548012829702,200.9431415522864,202.80372619628906,6279300,0.0,0.0
2022-10-07 00:00:00+07:00,202.80373475261936,202.80373475261936,195.36139586261498,199.0825653076172,5222100,0.0,0.0
2022-10-10 00:00:00+07:00,197.2219711004519,200.94314036649814,189.77963256835938,189.77963256835938,6887200,0.0,0.0
2022-10-11 00:00:00+07:00,189.77963256835938,197.2219711004519,189.77963256835938,189.77963256835938,3717000,0.0,0.0
2022-10-12 00:00:00+07:00,191.6402130126953,195.36138219740783,189.77962842033904,191.6402130126953,3965100,0.0,0.0
2022-10-13 00:00:00+07:00,193.50080183440562,193.50080183440562,189.77963256835938,189.77963256835938,2870800,0.0,0.0
2022-10-14 00:00:00+07:00,191.6402059120707,191.6402059120707,177.6858219864345,187.91903686523438,22320700,0.0,0.0
2022-10-17 00:00:00+07:00,187.91904793533624,189.77963256835938,178.61612477022058,189.77963256835938,16696400,0.0,0.0
2022-10-18 00:00:00+07:00,189.7796164458653,204.664292245541,189.7796164458653,197.22195434570312,16706400,0.0,0.0
2022-10-19 00:00:00+07:00,199.0825388206626,199.0825388206626,189.7796164458653,197.22195434570312,7761900,0.0,0.0
2022-10-20 00:00:00+07:00,197.22195434570312,200.94312329562206,193.50078539578422,197.22195434570312,8462600,0.0,0.0
2022-10-21 00:00:00+07:00,197.22198058511609,199.0825653076172,191.6402264176128,199.0825653076172,6228200,0.0,0.0
2022-10-24 00:00:00+07:00,199.0825635205518,212.10665646114865,199.0825635205518,206.52490234375,30753900,0.0,0.0
2022-10-25 00:00:00+07:00,206.52489548429435,210.24606477229966,199.08255690828375,202.80372619628906,10862000,0.0,0.0
2022-10-26 00:00:00+07:00,202.80372203480113,206.52489124644885,199.0825528231534,204.664306640625,16696500,0.0,0.0
2022-10-27 00:00:00+07:00,206.52489124644885,208.38547585227272,200.94313742897725,204.664306640625,9377100,0.0,0.0
2022-10-28 00:00:00+07:00,204.66431947512046,206.52490419762157,197.22198058511609,199.0825653076172,8290900,0.0,0.0
2022-10-31 00:00:00+07:00,199.08255690828375,202.80372619628906,199.08255690828375,202.80372619628906,4132400,0.0,0.0
2022-11-01 00:00:00+07:00,200.94314036649814,202.80372499952128,189.77963256835938,189.77963256835938,17954500,0.0,0.0
2022-11-02 00:00:00+07:00,191.6402130126953,195.36138219740783,189.77962842033904,191.6402130126953,7209000,0.0,0.0
2022-11-03 00:00:00+07:00,191.64021720138248,193.50080183440562,189.77963256835938,189.77963256835938,6745200,0.0,0.0
2022-11-04 00:00:00+07:00,191.64020487467448,195.3613739013672,191.64020487467448,195.3613739013672,9577200,0.0,0.0
2022-11-07 00:00:00+07:00,195.36137686835397,204.6642995763708,193.5007923267506,200.94313049316406,15456000,0.0,0.0
2022-11-08 00:00:00+07:00,200.94312329562206,200.94312329562206,195.3613698707437,197.22195434570312,6183900,0.0,0.0
2022-11-09 00:00:00+07:00,197.22195841471353,199.0825429280599,191.64020487467448,195.3613739013672,6295500,0.0,0.0
2022-11-10 00:00:00+07:00,195.36138219740783,195.36138219740783,189.77962842033904,191.6402130126953,8126500,0.0,0.0
2022-11-11 00:00:00+07:00,191.64022401662973,195.3613934150109,189.77963931743915,193.5008087158203,6000700,0.0,0.0
2022-11-14 00:00:00+07:00,193.5007976050516,193.5007976050516,189.77962842033904,191.6402130126953,6572700,0.0,0.0
2022-11-15 00:00:00+07:00,191.6402130126953,193.5007976050516,191.6402130126953,191.6402130126953,3745700,0.0,0.0
2022-11-16 00:00:00+07:00,191.64022401662973,193.5008087158203,189.77963931743915,193.5008087158203,4989900,0.0,0.0
2022-11-17 00:00:00+07:00,193.5008087158203,193.5008087158203,189.77963931743915,193.5008087158203,3526000,0.0,0.0
2022-11-18 00:00:00+07:00,193.5007976050516,193.5007976050516,189.77962842033904,191.6402130126953,2547500,0.0,0.0
2022-11-21 00:00:00+07:00,193.5007976050516,193.5007976050516,189.77962842033904,191.6402130126953,4227200,0.0,0.0
2022-11-22 00:00:00+07:00,191.6402130126953,191.6402130126953,189.77962842033904,191.6402130126953,3191400,0.0,0.0
2022-11-23 00:00:00+07:00,191.6402130126953,191.6402130126953,187.9190438279828,191.6402130126953,2661500,0.0,0.0
2022-11-24 00:00:00+07:00,191.64021720138248,191.64021720138248,187.91904793533624,189.77963256835938,4127700,0.0,0.0
2022-11-25 00:00:00+07:00,189.77963256835938,191.64021720138248,187.91904793533624,189.77963256835938,4225100,0.0,0.0
2022-11-28 00:00:00+07:00,189.77962138865254,189.77962138865254,185.12816008010714,187.91903686523438,9460700,0.0,0.0
2022-11-29 00:00:00+07:00,187.91903686523438,189.77962138865254,186.0584523418162,187.91903686523438,7252200,0.0,0.0
2022-11-30 00:00:00+07:00,187.91904793533624,197.2219711004519,186.0584633023131,189.77963256835938,26098800,0.0,0.0
2022-12-01 00:00:00+07:00,191.64020487467448,195.3613739013672,189.7796203613281,195.3613739013672,14306900,0.0,0.0
2022-12-02 00:00:00+07:00,195.3613934150109,197.22197811420148,191.64022401662973,193.5008087158203,13673100,0.0,0.0
2022-12-05 00:00:00+07:00,193.5007990056818,208.38547585227272,193.5007990056818,204.664306640625,46145900,0.0,0.0
2022-12-06 00:00:00+07:00,202.80370777058152,206.52487672050046,195.3613698707437,197.22195434570312,30091500,0.0,0.0
2022-12-07 00:00:00+07:00,197.22196140995734,204.6642995763708,195.36137686835397,200.94313049316406,16629900,0.0,0.0
2022-12-08 00:00:00+07:00,200.94313049316406,204.6642995763708,197.22196140995734,200.94313049316406,19001700,0.0,0.0
2022-12-09 00:00:00+07:00,202.80371305257967,202.80371305257967,187.91903686523438,187.91903686523438,23049800,0.0,0.0
2022-12-12 00:00:00+07:00,187.91905461824857,195.3613934150109,186.05846991905798,193.5008087158203,17298900,0.0,0.0
2022-12-13 00:00:00+07:00,193.5008087158203,193.5008087158203,187.91905461824857,193.5008087158203,18591000,0.0,0.0
2022-12-14 00:00:00+07:00,193.5007976050516,193.5007976050516,187.9190438279828,191.6402130126953,12150000,0.0,0.0
